First Name,Last Name,Position,Team,Cr
Tidjane,Salaun,Forward,Charlotte Hornets,"4,7"
Adem,Bona,Forward,Philadelphia 76ers,"4,7"
Asa,Newell,Forward,Atlanta Hawks,"4,7"
Max,Shulga,Guard,Boston Celtics,"4,7"
Drake,Powell,Guard,Brooklyn Nets,"4,7"
David Jones,Garcia,Forward,San Antonio Spurs,"4,7"
Tuomas,Iisalo,Head Coach,Memphis Grizzlies,"4,6"
Kevin,Love,Forward,Utah Jazz,"4,6"
Nicolas,Batum,Forward,Los Angeles Clippers,"4,6"
Justin,Edwards,Forward,Philadelphia 76ers,"4,6"
Liam,Mcneeley,Forward,Charlotte Hornets,"4,6"
Spencer,Jones,Forward,Denver Nuggets,"4,6"
Cameron,Payne,Guard,Indiana Pacers,"4,5"
Thomas,Bryant,Center,Cleveland Cavaliers,"4,5"
Talen,Horton-Tucker,Guard,Chicago Bulls,"4,5"
Tyus,Jones,Guard,Orlando Magic,"4,5"
Gabe,Vincent,Guard,Los Angeles Lakers,"4,5"
Delon,Wright,Guard,Indiana Pacers,"4,5"
Kelly,Olynyk,Forward,San Antonio Spurs,"4,5"
Tre,Mann,Guard,Charlotte Hornets,"4,5"
Alex,Len,Center,New York Knicks,"4,5"
Rick,Carlisle,Head Coach,Indiana Pacers,"4,5"
Jaden,Hardy,Guard,Dallas Mavericks,"4,5"
Jamaree,Bouyea,Guard,Phoenix Suns,"4,5"
Tristan,Thompson,Center,Cleveland Cavaliers,"4,5"
Kris,Murray,Forward,Portland Trail Blazers,"4,5"
Daquan,Jeffries,Guard,Charlotte Hornets,"4,5"
Keaton,Wallace,Guard,Atlanta Hawks,"4,5"
Kevon,Looney,Center,New Orleans Pelicans,"4,4"
Zach,Collins,Forward,Chicago Bulls,"4,4"
Tony,Bradley,Center,Indiana Pacers,"4,4"
Jase,Richardson,Guard,Orlando Magic,"4,4"
Noah,Penda,Guard,Orlando Magic,"4,4"
Micah,Peavy,Guard,New Orleans Pelicans,"4,4"
Jamir,Watkins,Guard,Washington Wizards,"4,4"
Jarred,Vanderbilt,Forward,Los Angeles Lakers,"4,3"
Bogdan,Bogdanovic,Guard,Los Angeles Clippers,"4,3"
Monte,Morris,Guard,Indiana Pacers,"4,3"
Jeremiah,Robinson-Earl,Forward,Indiana Pacers,"4,3"
Larry,Nance Jr,Forward,Cleveland Cavaliers,"4,3"
Drew,Eubanks,Center,Sacramento Kings,"4,3"
John,Konchar,Guard,Memphis Grizzlies,"4,3"
Georges,Niang,Forward,Utah Jazz,"4,3"
Jevon,Carter,Guard,Chicago Bulls,"4,3"
Kobe,Brown,Forward,Los Angeles Clippers,"4,3"
Nick,Smith Jr,Guard,Los Angeles Lakers,"4,3"
Guerschon,Yabusele,Forward,New York Knicks,"4,3"
Ja'kobe,Walter,Guard,Toronto Raptors,"4,3"
Branden,Carlson,Center,Oklahoma City Thunder,"4,3"
Will,Riley,Forward,Washington Wizards,"4,3"
Brooks,Barnhizer,Forward,Oklahoma City Thunder,"4,3"
Seth,Curry,Guard,Golden State Warriors,"4,2"
Garrison,Mathews,Guard,Indiana Pacers,"4,2"
Keon,Ellis,Guard,Sacramento Kings,"4,2"
Trayce,Jackson-Davis,Forward,Golden State Warriors,"4,2"
