name,first_name,last_name,role,position_full,nba_team,nba_team_abbr,credits
Jordan Clarkson,Jordan,Clarkson,G,Guardia,New York Knicks,NYK,5.4
Alex Caruso,Alex,Caruso,G,Guardia,Oklahoma City Thunder,OKC,5.4
Corey Kispert,Corey,Kispert,A,Ala,Washington Wizards,WAS,5.4
Dru Smith,Dru,Smith,G,Guardia,Miami Heat,MIA,5.4
Dominick Barlow,Dominick,Barlow,A,Ala,Philadelphia 76ers,PHI,5.4
Daniss Jenkins,Daniss,Jenkins,G,Guardia,Detroit Pistons,DET,5.4
Johni Broome,Johni,Broome,C,Centro,Philadelphia 76ers,PHI,5.4
Caleb Love,Caleb,Love,G,Guardia,Portland Trail Blazers,POR,5.4
Gary Trent Jr,Gary,Trent Jr,G,Guardia,Milwaukee Bucks,MIL,5.3
Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,G,Guardia,Memphis Grizzlies,MEM,5.3
Simone Fontecchio,Simone,Fontecchio,A,Ala,Miami Heat,MIA,5.3
Nikola Jovic,Nikola,Jovic,A,Ala,Miami Heat,MIA,5.3
Justin Champagnie,Justin,Champagnie,G,Guardia,Washington Wizards,WAS,5.3
Tyrese Martin,Tyrese,Martin,A,Ala,Brooklyn Nets,BKN,5.3
Mouhamed Gueye,Mouhamed,Gueye,A,Ala,Atlanta Hawks,ATL,5.3
Chris Paul,Chris,Paul,G,Guardia,Los Angeles Clippers,LAC,5.2
Jaden Ivey,Jaden,Ivey,G,Guardia,Detroit Pistons,DET,5.2
Derrick Jones Jr,Derrick,Jones Jr,A,Ala,Los Angeles Clippers,LAC,5.2
Ziaire Williams,Ziaire,Williams,A,Ala,Brooklyn Nets,BKN,5.2
Brandon Williams,Brandon,Williams,G,Guardia,Dallas Mavericks,DAL,5.2
Josh Minott,Josh,Minott,A,Ala,Boston Celtics,BOS,5.2
Ron Holland II,Ron,Holland II,A,Ala,Detroit Pistons,DET,5.2
Brook Lopez,Brook,Lopez,C,Centro,Los Angeles Clippers,LAC,5.1
Paul Reed,Paul,Reed,A,Ala,Detroit Pistons,DET,5.1
Dean Wade,Dean,Wade,A,Ala,Cleveland Cavaliers,CLE,5.1
Josh Okogie,Josh,Okogie,G,Guardia,Houston Rockets,HOU,5.1
Yang Hansen,Yang,Hansen,C,Centro,Portland Trail Blazers,POR,5.1
Walter Clayton Jr.,Walter,Clayton Jr.,G,Guardia,Utah Jazz,UTA,5.1
Will Richard,Will,Richard,G,Guardia,Golden State Warriors,GSW,5.1
Isaac Okoro,Isaac,Okoro,A,Ala,Chicago Bulls,CHI,5.0
Jared Butler,Jared,Butler,G,Guardia,Phoenix Suns,PHX,5.0
Dennis Smith Jr,Dennis,Smith Jr,G,Guardia,Dallas Mavericks,DAL,5.0
Pat Spencer,Pat,Spencer,G,Guardia,Golden State Warriors,GSW,5.0
Noa Essengue,Noa,Essengue,A,Ala,Chicago Bulls,CHI,5.0
Craig Porter Jr.,Craig,Porter Jr.,G,Guardia,Cleveland Cavaliers,CLE,5.0
Kobe Sanders,Kobe,Sanders,G,Guardia,Los Angeles Clippers,LAC,5.0
Dorian Finney-Smith,Dorian,Finney-Smith,A,Ala,Houston Rockets,HOU,4.9
Luke Kennard,Luke,Kennard,G,Guardia,Atlanta Hawks,ATL,4.9
De'Anthony Melton,De'Anthony,Melton,G,Guardia,Golden State Warriors,GSW,4.9
Svi Mykhailiuk,Svi,Mykhailiuk,G,Guardia,Utah Jazz,UTA,4.9
Caleb Grill,Caleb,Grill,G,Guardia,Chicago Bulls,CHI,4.9
Nae'qwan Tomlin,Nae'qwan,Tomlin,A,Ala,Cleveland Cavaliers,CLE,4.9
Kyle Anderson,Kyle,Anderson,A,Ala,Utah Jazz,UTA,4.8
Jericho Sims,Jericho,Sims,C,Centro,Milwaukee Bucks,MIL,4.8
Aaron Holiday,Aaron,Holiday,G,Guardia,Houston Rockets,HOU,4.8
Nick Richards,Nick,Richards,C,Centro,Phoenix Suns,PHX,4.8
Jabari Walker,Jabari,Walker,A,Ala,Philadelphia 76ers,PHI,4.8
Scoot Henderson,Scoot,Henderson,G,Guardia,Portland Trail Blazers,POR,4.8
Tristan Vukcevic,Tristan,Vukcevic,A,Ala,Washington Wizards,WAS,4.8
Oso Ighodaro,Oso,Ighodaro,A,Ala,Phoenix Suns,PHX,4.8
Chaz Lanier,Chaz,Lanier,G,Guardia,Detroit Pistons,DET,4.8
Daron Holmes Ii,Daron,Holmes Ii,A,Ala,Denver Nuggets,DEN,4.8
Sion James,Sion,James,G,Guardia,Charlotte Hornets,CHA,4.8
Brandon Clarke,Brandon,Clarke,A,Ala,Memphis Grizzlies,MEM,4.7
Patrick Williams,Patrick,Williams,A,Ala,Chicago Bulls,CHI,4.7
Max Strus,Max,Strus,G,Guardia,Cleveland Cavaliers,CLE,4.7
Moritz Wagner,Moritz,Wagner,A,Ala,Orlando Magic,ORL,4.7
Luka Garza,Luka,Garza,C,Centro,Boston Celtics,BOS,4.7
Bryce McGowens,Bryce,McGowens,G,Guardia,New Orleans Pelicans,NOP,4.7
Tidjane Salaun,Tidjane,Salaun,A,Ala,Charlotte Hornets,CHA,4.7
Adem Bona,Adem,Bona,A,Ala,Philadelphia 76ers,PHI,4.7
Asa Newell,Asa,Newell,A,Ala,Atlanta Hawks,ATL,4.7
Max Shulga,Max,Shulga,G,Guardia,Boston Celtics,BOS,4.7
Drake Powell,Drake,Powell,G,Guardia,Brooklyn Nets,BKN,4.7
David Jones Garcia,David Jones,Garcia,A,Ala,San Antonio Spurs,SAS,4.7
Kevin Love,Kevin,Love,A,Ala,Utah Jazz,UTA,4.6
Nicolas Batum,Nicolas,Batum,A,Ala,Los Angeles Clippers,LAC,4.6
Justin Edwards,Justin,Edwards,A,Ala,Philadelphia 76ers,PHI,4.6
Liam Mcneeley,Liam,Mcneeley,A,Ala,Charlotte Hornets,CHA,4.6
Spencer Jones,Spencer,Jones,A,Ala,Denver Nuggets,DEN,4.6
Cameron Payne,Cameron,Payne,G,Guardia,Indiana Pacers,IND,4.5
Thomas Bryant,Thomas,Bryant,C,Centro,Cleveland Cavaliers,CLE,4.5
Talen Horton-Tucker,Talen,Horton-Tucker,G,Guardia,Chicago Bulls,CHI,4.5
Tyus Jones,Tyus,Jones,G,Guardia,Orlando Magic,ORL,4.5
Gabe Vincent,Gabe,Vincent,G,Guardia,Los Angeles Lakers,LAL,4.5
Delon Wright,Delon,Wright,G,Guardia,Indiana Pacers,IND,4.5
Kelly Olynyk,Kelly,Olynyk,A,Ala,San Antonio Spurs,SAS,4.5
Tre Mann,Tre,Mann,G,Guardia,Charlotte Hornets,CHA,4.5
Alex Len,Alex,Len,C,Centro,New York Knicks,NYK,4.5
Jaden Hardy,Jaden,Hardy,G,Guardia,Dallas Mavericks,DAL,4.5
Jamaree Bouyea,Jamaree,Bouyea,G,Guardia,Phoenix Suns,PHX,4.5
Tristan Thompson,Tristan,Thompson,C,Centro,Cleveland Cavaliers,CLE,4.5
Kris Murray,Kris,Murray,A,Ala,Portland Trail Blazers,POR,4.5
Daquan Jeffries,Daquan,Jeffries,G,Guardia,Charlotte Hornets,CHA,4.5
Keaton Wallace,Keaton,Wallace,G,Guardia,Atlanta Hawks,ATL,4.5
Kevon Looney,Kevon,Looney,C,Centro,New Orleans Pelicans,NOP,4.4
Zach Collins,Zach,Collins,A,Ala,Chicago Bulls,CHI,4.4
Tony Bradley,Tony,Bradley,C,Centro,Indiana Pacers,IND,4.4
Jase Richardson,Jase,Richardson,G,Guardia,Orlando Magic,ORL,4.4
Noah Penda,Noah,Penda,G,Guardia,Orlando Magic,ORL,4.4
Micah Peavy,Micah,Peavy,G,Guardia,New Orleans Pelicans,NOP,4.4
Jamir Watkins,Jamir,Watkins,G,Guardia,Washington Wizards,WAS,4.4
Jarred Vanderbilt,Jarred,Vanderbilt,A,Ala,Los Angeles Lakers,LAL,4.3
Bogdan Bogdanovic,Bogdan,Bogdanovic,G,Guardia,Los Angeles Clippers,LAC,4.3
