First Name,Last Name,Position,Team,Cr,Team_abbr
Jarred,Vanderbilt,Ala,Los Angeles Lakers,"4,3",LAL
Bogdan,Bogdanovic,Guardia,Los Angeles Clippers,"4,3",LAC
Monte,Morris,Guardia,Indiana Pacers,"4,3",IND
Jeremiah,Robinson-Earl,Ala,Indiana Pacers,"4,3",IND
Larry,Nance Jr,Ala,Cleveland Cavaliers,"4,3",CLE
Drew,Eubanks,Centro,Sacramento Kings,"4,3",SAC
John,Konchar,Guardia,Memphis Grizzlies,"4,3",MEM
Georges,Niang,Ala,Utah Jazz,"4,3",UTA
Jevon,Carter,Guardia,Chicago Bulls,"4,3",CHI
Kobe,Brown,Ala,Los Angeles Clippers,"4,3",LAC
Nick,Smith Jr,Guardia,Los Angeles Lakers,"4,3",LAL
Guerschon,Yabusele,Ala,New York Knicks,"4,3",NYK
Ja'kobe,Walter,Guardia,Toronto Raptors,"4,3",TOR
Branden,Carlson,Centro,Oklahoma City Thunder,"4,3",OKC
Will,Riley,Ala,Washington Wizards,"4,3",WAS
Brooks,Barnhizer,Ala,Oklahoma City Thunder,"4,3",OKC
Seth,Curry,Guardia,Golden State Warriors,"4,2",GSW
Garrison,Mathews,Guardia,Indiana Pacers,"4,2",IND
Keon,Ellis,Guardia,Sacramento Kings,"4,2",SAC
Trayce,Jackson-Davis,Ala,Golden State Warriors,"4,2",GSW
Taylor,Hendricks,Ala,Utah Jazz,"4,2",UTA
Karlo,Matkovic,Ala,New Orleans Pelicans,"4,2",NOP
Drew,Timme,Ala,Los Angeles Lakers,"4,2",LAL
Nigel,Hayes-davis,Ala,Phoenix Suns,"4,2",PHX
Khaman,Maluach,Centro,Phoenix Suns,"4,2",PHX
Javonte,Green,Guardia,Detroit Pistons,"4,1",DET
Dalen,Terry,Ala,Chicago Bulls,"4,1",CHI
Kenrich,Williams,Guardia,Oklahoma City Thunder,"4,1",OKC
Gradey,Dick,Guardia,Toronto Raptors,"4,1",TOR
Kobe,Bufkin,Guardia,Memphis Grizzlies,"4,1",MEM
Sidy,Cissoko,Guardia,Portland Trail Blazers,"4,1",POR
Julian,Phillips,Ala,Chicago Bulls,"4,1",CHI
Jaylen,Clark,Guardia,Minnesota Timberwolves,"4,1",MIN
Gui,Santos,Ala,Golden State Warriors,"4,1",GSW
Tyler,Kolek,Guardia,New York Knicks,"4,1",NYK
Trey,Alexander,Guardia,New Orleans Pelicans,"4,1",NOP
Keshad,Johnson,Ala,Miami Heat,"4,1",MIA
Kyle,Lowry,Guardia,Philadelphia 76ers,4,PHI
Terry,Rozier,Guardia,Miami Heat,4,MIA
Jae,Crowder,Ala,Sacramento Kings,4,SAC
James,Wiseman,Centro,Indiana Pacers,4,IND
Mason,Plumlee,Centro,Charlotte Hornets,4,CHA
Maxi,Kleber,Ala,Los Angeles Lakers,4,LAL
Chris,Boucher,Ala,Boston Celtics,4,BOS
Dwight,Powell,Centro,Dallas Mavericks,4,DAL
Jae'Sean,Tate,Ala,Houston Rockets,4,HOU
Patty,Mills,Guardia,Los Angeles Clippers,4,LAC
Jonathan,Isaac,Ala,Orlando Magic,4,ORL
P.J.,Tucker,Ala,New York Knicks,4,NYK
Eric,Gordon,Guardia,Philadelphia 76ers,4,PHI
Ousmane,Dieng,Ala,Oklahoma City Thunder,4,OKC
Xavier,Tillman,Ala,Boston Celtics,4,BOS
Grant,Williams,Ala,Charlotte Hornets,4,CHA
Bismack,Biyombo,Centro,San Antonio Spurs,4,SAS
Markelle,Fultz,Guardia,Sacramento Kings,4,SAC
Taj,Gibson,Ala,Charlotte Hornets,4,CHA
Jeff,Green,Ala,Houston Rockets,4,HOU
Matisse,Thybulle,Ala,Portland Trail Blazers,4,POR
Ochai,Agbaji,Guardia,Toronto Raptors,4,TOR
Pat,Connaughton,Guardia,Charlotte Hornets,4,CHA
Markieff,Morris,Ala,Los Angeles Lakers,4,LAL
Josh,Green,Guardia,Charlotte Hornets,4,CHA
Joe,Ingles,Ala,Minnesota Timberwolves,4,MIN
Malaki,Branham,Ala,Washington Wizards,4,WAS
Caleb,Martin,Ala,Dallas Mavericks,4,DAL
Nah'shon,Hyland,Guardia,Minnesota Timberwolves,4,MIN
Gary,Harris,Guardia,Milwaukee Bucks,4,MIL
Amir,Coffey,Guardia,Milwaukee Bucks,4,MIL
Landry,Shamet,Guardia,New York Knicks,4,NYK
Jordan,McLaughlin,Guardia,San Antonio Spurs,4,SAS
Isaiah,Livers,Ala,Phoenix Suns,4,PHX
Doug,McDermott,Ala,Sacramento Kings,4,SAC
Dario,Saric,Ala,Sacramento Kings,4,SAC
Torrey,Craig,Ala,Boston Celtics,4,BOS
